WEEK,COUNTRY,FATALITIES
2023-01-07,Israel,0
2023-01-07,Palestine,5
2023-01-14,Israel,0
2023-01-14,Palestine,7
2023-01-21,Israel,0
2023-01-21,Palestine,23
2023-01-28,Israel,0
2023-01-28,Palestine,4
2023-02-04,Palestine,11
2023-02-04,Israel,0
2023-02-11,Israel,0
2023-02-11,Palestine,6
2023-02-18,Israel,0
2023-02-18,Palestine,13
2023-02-25,Israel,0
2023-02-25,Palestine,6
2023-03-04,Israel,2
2023-03-04,Palestine,12
2023-03-11,Palestine,8
2023-03-11,Israel,1
2023-03-18,Israel,0
2023-03-18,Palestine,1
2023-03-25,Israel,0
2023-03-25,Palestine,1
2023-04-01,Israel,2
2023-04-01,Palestine,6
2023-04-08,Palestine,5
2023-04-08,Israel,0
2023-04-15,Palestine,1
2023-04-15,Israel,0
2023-04-22,Israel,2
2023-04-22,Palestine,3
2023-04-29,Israel,0
2023-04-29,Palestine,6
2023-05-06,Israel,2
2023-05-06,Palestine,40
2023-05-13,Palestine,4
2023-05-13,Israel,1
2023-05-20,Palestine,7
2023-05-20,Israel,0
2023-05-27,Israel,0
2023-05-27,Palestine,3
2023-06-03,Israel,4
2023-06-03,Palestine,1
2023-06-10,Israel,0
2023-06-10,Palestine,2
2023-06-17,Israel,0
2023-06-17,Palestine,21
2023-06-24,Palestine,1
2023-06-24,Israel,0
2023-07-01,Israel,1
2023-07-01,Palestine,18
2023-07-08,Israel,0
2023-07-08,Palestine,1
2023-07-15,Israel,0
2023-07-15,Palestine,4
2023-07-22,Palestine,5
2023-07-22,Israel,0
2023-07-29,Palestine,5
2023-07-29,Israel,1
2023-08-05,Israel,2
2023-08-05,Palestine,5
2023-08-12,Israel,0
2023-08-12,Palestine,4
2023-08-19,Israel,0
2023-08-19,Palestine,5
2023-08-26,Israel,1
2023-08-26,Palestine,5
2023-09-02,Palestine,2
2023-09-02,Israel,0
2023-09-09,Israel,0
2023-09-09,Palestine,8
2023-09-16,Israel,0
2023-09-16,Palestine,7
2023-09-23,Israel,0
2023-09-23,Palestine,3
2023-09-30,Palestine,4
2023-09-30,Israel,1
2023-10-07,Israel,1726
2023-10-07,Palestine,2193
2023-10-14,Israel,8
2023-10-14,Palestine,2289
2023-10-21,Israel,2
2023-10-21,Palestine,3055
2023-10-28,Israel,2
2023-10-28,Palestine,2236
2023-11-04,Israel,3
2023-11-04,Palestine,1636
2023-11-11,Israel,1
2023-11-11,Palestine,1293
2023-11-18,Israel,1
2023-11-18,Palestine,2817
2023-11-25,Israel,6
2023-11-25,Palestine,218
2023-12-02,Palestine,2459
2023-12-02,Israel,1
2023-12-09,Israel,0
2023-12-09,Palestine,1555
2023-12-16,Israel,3
2023-12-16,Palestine,1115
2023-12-23,Israel,0
2023-12-23,Palestine,1428
2023-12-30,Palestine,1059
2023-12-30,Israel,0
2024-01-06,Palestine,1151
2024-01-06,Israel,0
2024-01-13,Israel,3
2024-01-13,Palestine,1106
2024-01-20,Israel,0
2024-01-20,Palestine,1340
2024-01-27,Israel,1
2024-01-27,Palestine,1073
2024-02-03,Israel,1
2024-02-03,Palestine,870
2024-02-10,Palestine,799
2024-02-10,Israel,4
2024-02-17,Israel,0
2024-02-17,Palestine,814
2024-02-24,Israel,0
2024-02-24,Palestine,682
2024-03-02,Israel,1
2024-03-02,Palestine,673
2024-03-09,Palestine,706
2024-03-09,Israel,2
2024-03-16,Israel,0
2024-03-16,Palestine,561
2024-03-23,Israel,1
2024-03-23,Palestine,525
2024-03-30,Israel,4
2024-03-30,Palestine,465
2024-04-06,Palestine,553
2024-04-06,Israel,0
2024-04-13,Palestine,390
2024-04-13,Israel,1
2024-04-20,Israel,1
2024-04-20,Palestine,344
2024-04-27,Israel,1
2024-04-27,Palestine,282
2024-05-04,Israel,7
2024-05-04,Palestine,340
2024-05-11,Israel,2
2024-05-11,Palestine,884
2024-05-18,Israel,0
2024-05-18,Palestine,638
2024-05-25,Israel,1
2024-05-25,Palestine,565
2024-06-01,Israel,2
2024-06-01,Palestine,475
2024-06-08,Israel,1
2024-06-08,Palestine,568
2024-06-15,Palestine,367
2024-06-15,Israel,0
2024-06-22,Palestine,508
2024-06-22,Israel,0
2024-06-29,Israel,2
2024-06-29,Palestine,566
2024-07-06,Israel,2
2024-07-06,Palestine,580
2024-07-13,Israel,3
2024-07-13,Palestine,567
2024-07-20,Israel,1
2024-07-20,Palestine,518
2024-07-27,Palestine,462
2024-07-27,Israel,1
2024-08-03,Israel,4
2024-08-03,Palestine,429
2024-08-10,Israel,0
2024-08-10,Palestine,614
2024-08-17,Israel,2
2024-08-17,Palestine,730
2024-08-24,Palestine,470
2024-08-24,Israel,3
2024-08-31,Palestine,308
2024-08-31,Israel,0
2024-09-07,Israel,0
2024-09-07,Palestine,300
2024-09-14,Israel,2
2024-09-14,Palestine,380
2024-09-21,Israel,2
2024-09-21,Palestine,261
2024-09-28,Israel,8
2024-09-28,Palestine,338
2024-10-05,Palestine,641
2024-10-05,Israel,8
2024-10-12,Israel,8
2024-10-12,Palestine,646
2024-10-19,Israel,4
2024-10-19,Palestine,834
2024-10-26,Israel,10
2024-10-26,Palestine,762
2024-11-02,Palestine,596
2024-11-02,Israel,2
2024-11-09,Israel,2
2024-11-09,Palestine,473
2024-11-16,Israel,2
2024-11-16,Palestine,548
2024-11-23,Israel,0
2024-11-23,Palestine,331
2024-11-30,Israel,0
2024-11-30,Palestine,387
2024-12-07,Israel,0
2024-12-07,Palestine,338
2024-12-14,Israel,0
2024-12-14,Palestine,393
2024-12-21,Israel,1
2024-12-21,Palestine,435
2024-12-28,Israel,0
2024-12-28,Palestine,342
2025-01-04,Palestine,345
2025-01-04,Israel,0
2025-01-11,Israel,0
2025-01-11,Palestine,400
2025-01-18,Israel,3
2025-01-18,Palestine,126
2025-01-25,Israel,0
2025-01-25,Palestine,55
2025-02-01,Palestine,35
2025-02-01,Israel,0
2025-02-08,Palestine,50
2025-02-08,Israel,0
2025-02-15,Israel,0
2025-02-15,Palestine,22
2025-02-22,Israel,2
2025-02-22,Palestine,53
2025-03-01,Israel,2
2025-03-01,Palestine,29
2025-03-08,Israel,3
2025-03-08,Palestine,66
2025-03-15,Palestine,678
2025-03-15,Israel,0
2025-03-22,Israel,2
2025-03-22,Palestine,333
2025-03-29,Israel,0
2025-03-29,Palestine,530
2025-04-05,Israel,0
2025-04-05,Palestine,313
2025-04-12,Palestine,326
2025-04-12,Israel,0
2025-04-19,Israel,0
2025-04-19,Palestine,376
2025-04-26,Israel,0
2025-04-26,Palestine,376
2025-05-03,Israel,0
2025-05-03,Palestine,371
2025-05-10,Israel,0
2025-05-10,Palestine,481
2025-05-17,Palestine,666
2025-05-17,Israel,1
2025-05-24,Israel,0
2025-05-24,Palestine,484
2025-05-31,Israel,0
2025-05-31,Palestine,482
2025-06-07,Israel,2
2025-06-07,Palestine,583
2025-06-14,Palestine,587
2025-06-14,Israel,26
2025-06-21,Palestine,507
2025-06-21,Israel,4
2025-06-28,Israel,0
2025-06-28,Palestine,805
2025-07-05,Israel,0
2025-07-05,Palestine,599
2025-07-12,Israel,0
2025-07-12,Palestine,724
2025-07-19,Palestine,674
2025-07-19,Israel,0
2025-07-26,Palestine,662
2025-07-26,Israel,0
2025-08-02,Israel,0
2025-08-02,Palestine,604
2025-08-09,Israel,0
2025-08-09,Palestine,515
2025-08-16,Israel,0
2025-08-16,Palestine,417
2025-08-23,Israel,0
2025-08-23,Palestine,407
2025-08-30,Israel,0
2025-08-30,Palestine,488
2025-09-06,Israel,0
2025-09-06,Palestine,453
2025-09-13,Israel,0
2025-09-13,Palestine,430
2025-09-20,Israel,0
2025-09-20,Palestine,413
2025-09-27,Palestine,486
2025-09-27,Israel,0
2025-10-04,Israel,0
2025-10-04,Palestine,125
2025-10-11,Israel,1
2025-10-11,Palestine,88
2025-10-18,Israel,0
2025-10-18,Palestine,71
2025-10-25,Palestine,132
2025-10-25,Israel,1
2025-11-01,Palestine,18
2025-11-01,Israel,0
2025-11-08,Israel,0
2025-11-08,Palestine,30
2025-11-15,Israel,0
2025-11-15,Palestine,58
2025-11-22,Israel,0
2025-11-22,Palestine,82
2025-11-29,Israel,0
2025-11-29,Palestine,37
2025-12-06,Israel,0
2025-12-06,Palestine,22
